,Unnamed: 0.3,Unnamed: 0,dates,on,off,g_val,harvest,tank,status_harvest,Unnamed: 0.2,Unnamed: 0.1,Relative Wind Direction Degrees,Relative Wind Speed m/s,Corrected Wind Direction Degrees,Corrected Wind Speed m/s,Air_Temp,Relative Humidity % RH,Pressure Hecto Pascals,Precipitation Intensity mm/h,Total Precipitation Millimeters,Solar Radiation W/m^2,Sunshine Hours Hours,year,month,day,hour,minute,second,datetime,date,Test,Alkalinity,TAN,Nitrite,Nitrate,pH,Water Temperature C,A,takeout_kg,biomass_kg,ideal_biomass_kg,timestamp,Solar_radiation,humidity,sensor_val,sensor_avg
0,0,0,2023-06-29 16:04:03+00:00,319,288,1114,22.11,6,restock,244184,244184,125,1.2,84,1.2,31.1,76,1015.8,0.0,0.0,935,4.69,2023,6,29,15,20,2,2023-06-29 15:20:00,6/29/2023,6/29/2023,210.0,0.0,0.199,5.8,8.11,28.75,8.11,0.0,22.11,22.11,0.0,935,76,4424.456094226522,8221.613047041466
1,1,1,2023-06-29 16:26:16+00:00,360,317,1295,,6,,244189,244189,70,0.93,29,0.93,31.7,76,1015.7,0.0,0.0,964,5.11,2023,6,29,15,45,7,2023-06-29 15:45:00,6/29/2023,6/29/2023,210.0,0.0,0.199,5.8,8.11,28.75,8.11,0.0,0.0,22.350091541134663,0.0173611111111111,964,76,4906.9260700389095,8083.377369830081
2,2,2,2023-06-29 16:48:29+00:00,395,341,1255,,6,,244193,244193,79,1.01,38,1.01,31.7,73,1015.6,0.0,0.0,995,5.44,2023,6,29,16,5,11,2023-06-29 16:05:00,6/29/2023,6/29/2023,210.0,0.0,0.199,5.8,8.11,28.75,8.11,0.0,0.0,22.54174860862273,0.0138888888888888,995,73,4800.3028709643495,7926.500030193496
3,3,3,2023-06-29 17:10:42+00:00,409,364,1429,,6,,244198,244198,122,1.53,82,1.53,31.4,73,1015.2,0.0,0.0,1007,5.86,2023,6,29,16,30,16,2023-06-29 16:30:00,6/29/2023,6/29/2023,210.0,0.0,0.199,5.8,8.11,28.75,8.11,0.0,0.0,22.7810571816784,0.0173611111111111,1007,73,5264.113786938689,8022.951532535648
4,4,4,2023-06-29 17:32:56+00:00,326,295,1518,,6,,244202,244202,108,1.48,67,1.48,30.7,73,1014.9,0.0,0.0,1009,6.19,2023,6,29,16,50,22,2023-06-29 16:50:00,6/29/2023,6/29/2023,210.0,0.0,0.199,5.8,8.11,28.75,8.11,0.0,0.0,22.9719735838235,0.0138888888888888,1009,73,5501.350404879588,7702.3971807900325
5,5,5,2023-06-29 17:55:09+00:00,275,248,1664,,6,,244207,244207,92,1.12,52,1.12,31.4,77,1014.9,0.0,0.0,881,6.61,2023,6,29,17,15,28,2023-06-29 17:15:00,6/29/2023,6/29/2023,210.0,0.0,0.199,5.8,8.11,28.75,8.11,0.0,0.0,23.210063304879075,0.0173611111111111,881,77,5890.525081501735,7709.281888215043
6,6,6,2023-06-29 18:17:22+00:00,309,280,1116,,6,,244211,244211,115,0.4,74,0.4,31.3,78,1014.6,0.0,0.0,984,6.95,2023,6,29,17,35,32,2023-06-29 17:35:00,6/29/2023,6/29/2023,210.0,0.0,0.199,5.8,8.11,28.75,8.11,0.0,0.0,23.398073884582985,0.0138888888888888,984,78,4429.78725418025,8025.137194900336
7,7,7,2023-06-29 18:39:35+00:00,307,276,950,,6,,244215,244215,98,0.95,57,0.95,31.9,77,1014.6,0.0,0.0,959,7.28,2023,6,29,17,55,36,2023-06-29 17:55:00,6/29/2023,6/29/2023,210.0,0.0,0.199,5.8,8.11,28.75,8.11,0.0,0.0,23.58696215222887,0.0138888888888888,959,77,3987.300978020822,7828.344791837405
8,8,8,2023-06-29 19:01:49+00:00,375,323,1613,,6,,244220,244220,91,0.81,50,0.81,32.0,76,1014.3,0.0,0.0,929,7.7,2023,6,29,18,20,41,2023-06-29 18:20:00,6/29/2023,6/29/2023,210.0,0.0,0.199,5.8,8.11,28.75,8.11,0.0,0.0,23.821909857091818,0.0173611111111111,929,76,5754.58050268167,7638.88694181282
9,9,9,2023-06-29 19:24:02+00:00,402,337,1459,,6,,244224,244224,90,0.27,49,0.27,32.3,77,1013.8,0.0,0.0,872,8.03,2023,6,29,18,40,45,2023-06-29 18:40:00,6/29/2023,6/29/2023,210.0,0.0,0.199,5.8,8.11,28.75,8.11,0.0,0.0,24.00878143176057,0.0138888888888888,872,77,5344.081186244611,7521.6553490600545
